"date","unyo","bus_no"
"20260703","大野城市循環バス線①月","24"
"20260703","福岡空港-久留米線①京","2018"
"20260703","脇山線(38)早T","2035"
"20260703","宇美線③宇","2037"
"20260703","宇美線②宇","2038"
"20260703","金武（城南）博多駅線②武","2101"
"20260703","春日原線②那","2108"
"20260703","甘木幹線⑤杷T","2130"
"20260703","油山（快速）博多駅線③桧T","2406"
"20260703","小笹・小笹団地線①柏","2419"
"20260703","則松循環線①香","2519"
"20260703","津屋崎～福間線①赤","2601"
"20260703","香椎線①舞","2602"
"20260703","野間～天神線④柏","2663"
"20260703","赤間（普通）線①高","2665"
"20260703","森林都市線②赤","2692"
"20260703","門司 - 戸畑線①門","2711"
"20260703","志井線⑭谷","2714"
"20260703","春日原線①那","2725"
"20260703","シーサイドももち線⑳愛","2728"
"20260703","野間（城南）博多駅線⑧桧T","2741"
"20260703","大谷線・大谷（大蔵）線②戸","2751"
"20260703","黒原 - 戸畑線①戸","2764"
"20260703","渡辺通幹線②那","2776"
"20260703","那珂川フィーダー線⑤那","2777"
"20260703","屋形原線④那","2786"
"20260703","飯塚 - 大隈線①飯","2804"
"20260703","片江（城南）博多駅線①片","2830"
"20260703","門司 - 戸畑線③門","2832"
"20260703","恒見フィーダー線②恒","2843"
"20260703","上重田線①小","2852"
"20260703","小嶺 - 戸畑・若松線②香","2857"
"20260703","恒見 - 小倉線⑲恒T","2861"
"20260703","野方（都市高速）博多線③壱","2876"
"20260703","門司駅～山田線①谷","2906"
"20260703","大橋～福翔線④那","2931"
"20260703","大谷線・大谷（大蔵）線①戸","2938"
"20260703","上山田線①飯","2961"
"20260703","那珂川フィーダー線②那","2963"
"20260703","則松循環線②香","2970"
"20260703","大里線①恒","2971"
"20260703","今町・若園線①谷","2979"
"20260703","昭代（城南）博多駅線①愛","1030"
"20260703","四王寺坂線①宇","1040"
"20260703","宇美線①宇","1043"
"20260703","野間快速線③桧","1047"
"20260703","小倉 - 黒崎・折尾線①幡","1050"
"20260703","門司 - 戸畑線①戸","1071"
"20260703","小倉～北九州空港線⑧北T","1079"
"20260703","昭代（城南）博多駅線①も","1087"
"20260703","宇美線⑰宇","1089"
"20260703","志賀島線②ア","1099"
"20260703","福岡・福岡空港～日田線①日","1126"
"20260703","小嶺 - 戸畑・若松線③香","1159"
"20260703","小倉 - 黒崎線①幡","1161"
"20260703","福岡～熊本線⑱高T","1168"
"20260703","小倉～北九州空港線①北","1187"
"20260703","長野 - 小倉線①弥","1189"
"20260703","馬場山～大平線①香","1192"
"20260703","小倉 - 黒崎・折尾線⑥小T","1237"
"20260703","門司港ローカル線①門","1239"
"20260703","小倉 - 黒崎・折尾線⑤幡","1241"
"20260703","佐賀～福岡空港線①佐","1248"
"20260703","渡辺通幹線①那","1255"
"20260703","西新（城南）九大線①愛","1261"
"20260703","油山線①片","1267"
"20260703","恒見 - 小倉線②恒","1279"
"20260703","馬場山～大平線⑨香","1281"
"20260703","香椎線①ア","1293"
"20260703","アイランドシティ～千早線①ア","1294"
"20260703","大橋～福翔線②那","1297"
"20260703","香椎浜～博多駅線①ア","1299"
"20260703","福岡～鹿児島線①高T","1338"
"20260703","大橋～福翔線⑤那","1348"
"20260703","小倉 - 黒崎線⑤小T","1353"
"20260703","貫 (都市高速) 小倉線①弥","1354"
"20260703","荒江線①早","1451"
"20260703","宇美線④宇","1803"
"20260703","みどりヶ丘線①土","1819"
"20260703","みどりヶ丘線②土","1820"
"20260703","みどりヶ丘線③土","1821"
"20260703","多々良・八田線②土","1822"
"20260703","長住～天神線①桧","1920"
"20260703","志賀島島内線①ア","1924"
"20260703","恒見 - 小倉線①恒","4612"
"20260703","多々良・八田線①土","3632"
"20260703","新八田線①土","3633"
"20260703","福岡～大分線①高","3671"
"20260703","筑豊（特急）福岡線②田","4705"
"20260703","筑豊（特急）福岡線①飯","4720"
"20260703","筑豊（特急）福岡線⑤田","4723"
"20260703","三軒屋線②武","4832"
"20260703","野間快速線①柏","4867"
"20260703","早良（城南）博多駅①早","4915"
"20260703","宇美線⑦宇","4920"
"20260703","福岡～小倉線①博","3016"
"20260703","福岡～小倉線②博","3017"
"20260703","福岡～小倉線④北","3019"
"20260703","貫 (都市高速) 小倉線②弥","3025"
"20260703","野間快速線①桧","3054"
"20260703","野間～天神線①柏","3058"
"20260703","福岡～鹿児島線②高T","3135"
"20260703","福岡～小倉線④博","3153"
"20260703","野間～天神線④桧","3240"
"20260703","長住～博多駅線①桧","3273"
"20260703","福岡・福岡空港～佐世保線④博T","3282"
"20260703","福岡・福岡空港～佐世保線②博T","3285"
"20260703","福岡～小倉線①北","3332"
"20260703","三軒屋線①武","3423"
"20260703","宇美線⑥宇","3430"
"20260703","福岡～小倉線②北","3434"
"20260703","福岡～小倉線③北","3435"
"20260703","福岡～宮崎線⑧高T","3440"
"20260703","野間快速線⑧桧","3701"
"20260703","香椎線②ア","3704"
"20260703","野間快速線②柏","3709"
"20260703","小倉（中原）戸畑線②戸","5829"
"20260703","昭代（城南）博多駅線②愛","5834"
"20260703","姪浜フィーダー線①壱","5847"
"20260703","小笹～天神線①片","5857"
"20260703","森林都市線①赤","5879"
"20260703","香椎浜～博多駅線②ア","5897"
"20260703","黒原 - 戸畑線①弥","9014"
"20260703","志井線①谷","9016"
"20260703","志井線②谷","9017"
"20260703","小嶺 - 戸畑・若松線①香","9022"
"20260703","門司 - 戸畑線⑫門","9025"
"20260703","屋形原線②那","9032"
"20260703","久留米吉井線①吉","9053"
"20260703","久留米吉井線②吉","9057"
"20260703","南ヶ丘線①月","9061"
"20260703","諸岡線①竹","9085"
"20260703","片江（城南）博多駅線②片","9093"
"20260703","久留米市内線①京","9101"
"20260703","金武線①壱","9137"
"20260703","板付団地線①竹","9138"
"20260703","福島線②八","9141"
"20260703","小笹・小笹団地線⑭柏","9205"
"20260703","福大線①片","9208"
"20260703","空港循環線①宇","9210"
"20260703","黒原 - 戸畑線①小","9222"
"20260703","小倉 - 黒崎・折尾線④小T","9226"
"20260703","西団地 - 萩原線①幡","9229"
"20260703","小倉 - 黒崎線②幡","9231"
